thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,hepar2,p1,0.01,0.990000,0.3772189,0.001,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.622781,-10000.000000
0.35,hepar2,p1,0.01,0.990000,0.3772189,0.001,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.622781,-10000.000000
0.4,hepar2,p1,0.01,0.990000,0.39100015,0.013781,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.609000,-10000.000000
0.45,hepar2,p1,0.01,0.990000,0.441672025,0.064453,1,0.066000,0.066000,10000,9999.622781,10000,-9999.558328,-9999.934000
0.5,hepar2,p1,0.01,0.990000,0.492453275,0.115234,1,0.067000,0.067000,10000,9999.622781,10000,-9999.507547,-9999.933000
0.55,hepar2,p1,0.01,0.990000,0.54518765,0.167969,2,0.169000,0.232000,10000,9999.622781,10000,-9999.454812,-9999.768000
0.6,hepar2,p1,0.01,0.990000,0.5959689,0.218750,2,0.147000,0.206000,10000,9999.622781,10000,-9999.404031,-9999.794000
0.65,hepar2,p1,0.01,0.990000,0.6510609023,0.273842,3,0.155000,0.274000,10000,9999.622781,10000,-9999.348939,-9999.726000
0.7,hepar2,p1,0.01,0.990000,0.6990338109,0.321815,3,0.209000,0.367000,10000,9999.622781,10000,-9999.300966,-9999.633000
0.75,hepar2,p1,0.01,0.990000,0.7538599922,0.376641,3,0.285000,0.715000,10000,9999.622781,10000,-9999.246140,-9999.285000
0.8,hepar2,p1,0.01,0.990000,0.8086861734,0.431467,3,0.205000,0.355000,10000,9999.622781,10000,-9999.191314,-9999.645000
0.85,hepar2,p1,0.01,0.990000,0.856659082,0.479440,3,0.212000,0.375000,10000,9999.622781,10000,-9999.143341,-9999.625000
0.9,hepar2,p1,0.01,0.990000,0.90625,0.529031,4,0.198000,0.420000,10000,9999.622781,10000,-9999.093750,-9999.580000
0.95,hepar2,p1,0.01,0.990000,0.9609375,0.583719,4,0.194000,0.396000,10000,9999.622781,10000,-9999.039062,-9999.604000
0.3,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.029000,10000,9999.010000,10000,0.0000001,-9999.971000
0.35,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.030000,10000,9999.010000,10000,0.0000001,-9999.970000
0.4,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.032000,10000,9999.010000,10000,0.0000001,-9999.968000
0.45,win95pts,p1,0.01,0.990000,10000,10,6,0.007000,0.035000,10000,9999.010000,10000,0.0000001,-9999.965000
0.5,win95pts,p1,0.01,0.990000,10000,10,6,0.007000,0.034000,10000,9999.010000,10000,0.0000001,-9999.966000
0.55,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.025000,10000,9999.010000,10000,0.0000001,-9999.975000
0.6,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.029000,10000,9999.010000,10000,0.0000001,-9999.971000
0.65,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.7,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.030000,10000,9999.010000,10000,0.0000001,-9999.970000
0.75,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.8,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.85,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.025000,10000,9999.010000,10000,0.0000001,-9999.975000
0.9,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.95,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.3,alarm,p1,0.01,0.990000,0.02,0.001,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.980000,-10000.000000
0.35,alarm,p1,0.01,0.990000,0.02,0.001,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.980000,-10000.000000
0.4,alarm,p1,0.01,0.990000,0.0421484375,0.022148,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.957852,-10000.000000
0.45,alarm,p1,0.01,0.990000,0.2025,0.182500,2,0.028000,0.040000,10000,9999.980000,10000,-9999.797500,-9999.960000
0.5,alarm,p1,0.01,0.990000,0.365625,0.345625,3,0.031000,0.060000,10000,9999.980000,10000,-9999.634375,-9999.940000
0.55,alarm,p1,0.01,0.990000,0.5234375,0.503437,4,0.028000,0.061000,10000,9999.980000,10000,-9999.476563,-9999.939000
0.6,alarm,p1,0.01,0.990000,0.6875,0.667500,4,0.028000,0.059000,10000,9999.980000,10000,-9999.312500,-9999.941000
0.65,alarm,p1,0.01,0.990000,0.84375,0.823750,4,0.027000,0.060000,10000,9999.980000,10000,-9999.156250,-9999.940000
